away,forecast,home,week,wind,year
Titans,67f Mostly Cloudy,Steelers,1,,2009
Lions,DOME,Saints,1,,2009
Dolphins,DOME,Falcons,1,,2009
Chiefs,68f Mostly Cloudy,Ravens,1,,2009
Eagles,77f Mostly Cloudy,Panthers,1,,2009
Cowboys,85f Mostly Cloudy,Buccaneers,1,,2009
Jets,82f Mostly Cloudy,Texans,1,,2009
Broncos,71f Fair,Bengals,1,,2009
Vikings,70f Fair,Browns,1,,2009
Redskins,80f Fair,Giants,1,,2009
49ers,DOME,Cardinals,1,,2009
Rams,74f Fair,Seahawks,1,,2009
Bears,80f Mostly Cloudy,Packers,1,,2009
Bills,73f Fair,Patriots,1,,2009
Chargers,67f Partly Cloudy,Raiders,1,,2009
Texans,76f Overcast,Titans,2,,2009
Panthers,DOME,Falcons,2,,2009
Vikings,DOME,Lions,2,,2009
Cardinals,87f Mostly Cloudy,Jaguars,2,,2009
Raiders,70f Overcast,Chiefs,2,,2009
Saints,69f A Few Clouds,Eagles,2,,2009
Bengals,68f Mostly Cloudy,Packers,2,,2009
Rams,68f Fair,Redskins,2,,2009
Patriots,68f Fair,Jets,2,,2009
Buccaneers,75f Partly Cloudy,Bills,2,,2009
Seahawks,68f Fair,49ers,2,,2009
Ravens,81f Fair,Chargers,2,,2009
Steelers,70f Overcast,Bears,2,,2009
Browns,82f Partly Cloudy,Broncos,2,,2009
Giants,88f Partly Cloudy,Cowboys,2,,2009
Colts,85f Fair,Dolphins,2,,2009
Redskins,DOME,Lions,3,,2009
Packers,DOME,Rams,3,,2009
49ers,DOME,Vikings,3,,2009
Falcons,64f Light Rain,Patriots,3,,2009
Titans,66f Light Rain Fog/Mist,Jets,3,,2009
Chiefs,68f Fog/Mist,Eagles,3,,2009
Giants,89f Partly Cloudy,Buccaneers,3,,2009
Browns,71f Light Rain,Ravens,3,,2009
Jaguars,84f Partly Cloudy,Texans,3,,2009
Saints,66f Mostly Cloudy,Bills,3,,2009
Bears,61f Fair,Seahawks,3,,2009
Dolphins,78f Fair,Chargers,3,,2009
Steelers,63f Overcast,Bengals,3,,2009
Broncos,77f Fair,Raiders,3,,2009
Colts,DOME,Cardinals,3,,2009
Panthers,81f Clear,Cowboys,3,,2009
